Category,Message
ham,Feel like trying kadeem again? :V
ham,Bring home some Wendy =D
ham,"Yetunde, i'm sorry but moji and i seem too busy to be able to go shopping. Can you just please find some other way to get what you wanted us to get. Please forgive me. You can reply free via yahoo messenger."
ham,I'm meeting Darren...
ham,"Friendship is not a game to play, It is not a word to say, It doesn\'t start on March and ends on May, It is tomorrow, yesterday, today and e"
ham,Ard 515 like dat. Y?
ham,I luv u soo much u dont understand how special u r 2 me ring u 2morrow luv u xxx
ham,Prepare to be pounded every night...
ham,Ball is moving a lot.will spin in last :)so very difficult to bat:)
ham,"Haha yeah I see that now, be there in a sec"
ham,Ü v ma fan...
ham,Honey boo I'm missing u.
ham,I don't run away frm u... I walk slowly &amp; it kills me that u don't care enough to stop me...
ham,* Am on a train back from northampton so i'm afraid not!
ham,Just checking in on you. Really do miss seeing Jeremiah. Do have a great month
ham,I know you are serving. I mean what are you doing now.
ham,How do you plan to manage that
ham,"I know dat feelin had it with Pete! Wuld get with em , nuther place nuther time mayb?"
spam,"You've won tkts to the EURO2004 CUP FINAL or £800 CASH, to collect CALL 09058099801 b4190604, POBOX 7876150ppm"
spam,"Congrats 2 mobile 3G Videophones R yours. call 09063458130 now! videochat wid ur mates, play java games, Dload polypH music, noline rentl. bx420. ip4. 5we. 150p"
ham,It is a good thing I'm now getting the connection to bw
ham,K.k:)i'm going to tirunelvali this week to see my uncle ..i already spend the amount by taking dress .so only i want money.i will give it on feb 1
ham,"Yeah, probably but not sure. Ilol let u know, but personally I wuldnt bother, then again if ur goin to then I mite as well!!"
ham,K sure am in my relatives home. Sms me de. Pls:-)
ham,Good Morning plz call me sir
ham,G wants to know where the fuck you are
ham,"Can meh? Thgt some will clash... Really ah, i dun mind... I dun seen to have lost any weight... Gee..."
ham,Hey cutie. How goes it? Here in WALES its kinda ok. There is like hills and shit but i still avent killed myself.
spam,No 1 POLYPHONIC tone 4 ur mob every week! Just txt PT2 to 87575. 1st Tone FREE ! so get txtin now and tell ur friends. 150p/tone. 16 reply HL 4info
ham,Oh k k:)but he is not a big hitter.anyway good
ham,He remains a bro amongst bros
spam,08714712388 between 10am-7pm Cost 10p
ham,Yes there were many sweets
ham,Jus finish my lunch on my way home lor... I tot u dun wan 2 stay in sch today...
spam,1st wk FREE! Gr8 tones str8 2 u each wk. Txt NOKIA ON to 8007 for Classic Nokia tones or HIT ON to 8007 for Polys. Nokia/150p Poly/200p 16+
ham,Heart is empty without love.. Mind is empty without wisdom.. Eyes r empty without dreams &amp; Life is empty without frnds.. So Alwys Be In Touch. Good night &amp; sweet dreams
ham,She went to attend another two rounds today..but still did't reach home..
ham,"Whatever, juliana. Do whatever you want."
ham,Then i buy.
ham,"Al he does is moan at me if n e thin goes wrong its my fault&al de arguments r my fault&fed up of him of himso y bother? Hav 2go, thanx.xx"
ham,Also fuck you and your family for going to rhode island or wherever the fuck and leaving me all alone the week I have a new bong &gt;:(
ham,K go and sleep well. Take rest:-).
ham,Did either of you have any idea's? Do you know of anyplaces doing something?
spam,-PLS STOP bootydelious (32/F) is inviting you to be her friend. Reply YES-434 or NO-434 See her: www.SMS.ac/u/bootydelious STOP? Send STOP FRND to 62468
ham,Yup...
ham,Ü predict wat time ü'll finish buying?
ham,HI ITS JESS I DONT KNOW IF YOU ARE AT WORK BUT CALL ME WHEN U CAN IM AT HOME ALL EVE. XXX
ham,"Goodnight, sleep well da please take care pa. Please."
ham,"When people see my msgs, They think Iam addicted to msging... They are wrong, Bcoz They don\'t know that Iam addicted to my sweet Friends..!! BSLVYL"
spam,IMPORTANT MESSAGE. This is a final contact attempt. You have important messages waiting out our customer claims dept. Expires 13/4/04. Call 08717507382 NOW!
ham,Ok.
ham,Yup... Hey then one day on fri we can ask miwa and jiayin take leave go karaoke
ham,"She said,'' do u mind if I go into the bedroom for a minute ? '' ''OK'', I sed in a sexy mood. She came out 5 minuts latr wid a cake...n My Wife,"
ham,Hmm...Bad news...Hype park plaza $700 studio taken...Only left 2 bedrm-$900...
ham,U don't remember that old commercial?
ham,Ok set let u noe e details later...
ham,"Hello, yeah i've just got out of the bath and need to do my hair so i'll come up when i'm done, yeah?"
ham,I'll pick you up at about 5.15pm to go to taunton if you still want to come.
ham,Thanks love. But am i doing torch or bold.
spam,Do you want a new Video phone? 600 anytime any network mins 400 Inclusive Video calls AND downloads 5 per week Free delTOMORROW call 08002888812 or reply NOW
ham,What i told before i tell. Stupid hear after i wont tell anything to you. You dad called to my brother and spoken. Not with me.
ham,"He said that he had a right giggle when he saw u again! You would possibly be the first person2die from NVQ, but think how much you could for!"
ham,I know you mood off today
ham,"Hey sorry I didntgive ya a a bellearlier hunny,just been in bedbut mite go 2 thepub l8tr if uwana mt up?loads a luv Jenxxx."
ham,"Shit that is really shocking and scary, cant imagine for a second. Def up for night out. Do u think there is somewhere i could crash for night, save on taxi?"
ham,Really do hope the work doesnt get stressful. Have a gr8 day.
ham,Are you in castor? You need to see something
ham,Aight what time you want me to come up?
ham,So ü'll be submitting da project tmr rite?
ham,Just sleeping..and surfing
ham,Lol ok. I'll snatch her purse too.
ham,Please da call me any mistake from my side sorry da. Pls da goto doctor.
spam,BIG BROTHER ALERT! The computer has selected u for 10k cash or #150 voucher. Call 09064018838. NTT PO Box CRO1327 18+ BT Landline Cost 150ppm mobiles vary
ham,Gimme a few was  &lt;#&gt;  minutes ago
ham,You do got a shitload of diamonds though
spam,"Had your contract mobile 11 Mnths? Latest Motorola, Nokia etc. all FREE! Double Mins & Text on Orange tariffs. TEXT YES for callback, no to remove from records."
spam,"Congrats! 2 mobile 3G Videophones R yours. call 09061744553 now! videochat wid ur mates, play java games, Dload polyH music, noline rentl. bx420. ip4. 5we. 150pm"
spam,"Oh my god! I've found your number again! I'm so glad, text me back xafter this msgs cst std ntwk chg £1.50"
ham,"A cute thought for friendship: ""Its not necessary to share every secret with ur close Frnd, but watever u shared should be true""...."
ham,Orh i tot u say she now still dun believe.
ham,She doesnt need any test.
ham,I wait 4 ü inside da car park...
ham,Do you mind if I ask what happened? You dont have to say if it is uncomfortable.
spam,Ur cash-balance is currently 500 pounds - to maximize ur cash-in now send COLLECT to 83600 only 150p/msg. CC: 08718720201 PO BOX 114/14 TCR/W1
spam,You have an important customer service announcement. Call FREEPHONE 0800 542 0825 now!
ham,The guy did some bitching but I acted like i'd be interested in buying something else next week and he gave it to us for free
ham,I (Career Tel) have added u as a contact on INDYAROCKS.COM to send FREE SMS. To remove from phonebook - sms NO to  &lt;#&gt;
ham,Yun ah.now ü wkg where?btw if ü go nus sc. Ü wana specialise in wad?
ham,You got job in wipro:)you will get every thing in life in 2 or 3 years.
ham,Thanks honey but still haven't heard anything I will leave it a bit longer so not 2 crowd him and will try later - great advice thanks hope cardiff is still there!
ham,"We have sent JD for Customer Service cum Accounts Executive to ur mail id, For details contact us"
ham,Let me know how it changes in the next 6hrs. It can even be appendix but you are out of that age range. However its not impossible. So just chill and let me know in 6hrs
ham,It just seems like weird timing that the night that all you and g want is for me to come smoke is the same day as when a shitstorm is attributed to me always coming over and making everyone smoke
spam,"Today's Offer! Claim ur £150 worth of discount vouchers! Text YES to 85023 now! SavaMob, member offers mobile! T Cs 08717898035. £3.00 Sub. 16 . Unsub reply X"
ham,Lol for real. She told my dad I have cancer
spam,4mths half price Orange line rental & latest camera phones 4 FREE. Had your phone 11mths ? Call MobilesDirect free on 08000938767 to update now! or2stoptxt
ham,What time should I tell my friend to be around?
ham,I think just yourself …Thanks and see you tomo
ham,As per your request 'Maangalyam (Alaipayuthe)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune
ham,So that takes away some money worries
ham,So what did the bank say about the money?
ham,This girl does not stay in bed. This girl doesn't need recovery time. Id rather pass out while having fun then be cooped up in bed
spam,Show ur colours! Euro 2004 2-4-1 Offer! Get an England Flag & 3Lions tone on ur phone! Click on the following service message for info!
ham,And pls pls drink plenty plenty water
ham,Good morning princess! Happy New Year!
ham,YO YO YO BYATCH WHASSUP?
ham,"If i let you do this, i want you in the house by 8am."
ham,How are you holding up?
spam,"Call 09094100151 to use ur mins! Calls cast 10p/min (mob vary). Service provided by AOM, just GBP5/month. AOM Box61,M60 1ER until u stop. Ages 18+ only!"
ham,"Yup. Anything lor, if u dun wan it's ok..."
ham,You dont know you jabo me abi.
ham,THANX4 TODAY CER IT WAS NICE 2 CATCH UP BUT WE AVE 2 FIND MORE TIME MORE OFTEN OH WELL TAKE CARE C U SOON.C
spam,"Xmas Offer! Latest Motorola, SonyEricsson & Nokia & FREE Bluetooth or DVD! Double Mins & 1000 Txt on Orange. Call MobileUpd8 on 08000839402 or call2optout/4QF2"
ham,"CAN I PLEASE COME UP NOW IMIN TOWN.DONTMATTER IF URGOIN OUTL8R,JUST REALLYNEED 2DOCD.PLEASE DONTPLEASE DONTIGNORE MYCALLS,U NO THECD ISV.IMPORTANT TOME 4 2MORO"
ham,U definitely need a module from e humanities dis sem izzit? U wan 2 take other modules 1st?
ham,Yo you guys ever figure out how much we need for alcohol? Jay and I are trying to figure out how much we can safely spend on weed
ham,U buy newspapers already?
ham,"Sorry, left phone upstairs. OK, might be hectic but would be all my birds with one fell swoop. It's a date."
ham,Sorry sent blank msg again. Yup but trying 2 do some serious studying now.
ham,HI BABE IM AT HOME NOW WANNA DO SOMETHING? XX
ham,I can do that! I want to please you both inside and outside the bedroom...
spam,"Fantasy Football is back on your TV. Go to Sky Gamestar on Sky Active and play £250k Dream Team. Scoring starts on Saturday, so register now!SKY OPT OUT to 88088"
ham,"Ya ok, then had dinner?"
ham,"I can't keep going through this. It was never my intention to run you out, but if you choose to do that rather than keep the room clean so *I* don't have to say no to visitors, then maybe that's the best choice. Yes, I wanted you to be embarassed, so maybe you'd feel for once how I feel when i have a friend who wants to drop buy and i have to say no, as happened this morning. I've tried everything. I don't know what else to do."
ham,Dude sux for snake. He got old and raiden got buff
ham,I said its okay. Sorry
ham,I just cooked a rather nice salmon a la you
ham,Howz pain.it will come down today.do as i said ystrday.ice and medicine.
ham,* You gonna ring this weekend or wot?
ham,Po de :-):):-):-):-). No need job aha.
ham,"There'll be a minor shindig at my place later tonight, you interested?"
ham,Cant think of anyone with * spare room off * top of my head
ham,K I'll be there before 4.
ham,Hello handsome ! Are you finding that job ? Not being lazy ? Working towards getting back that net for mummy ? Where's my boytoy now ? Does he miss me ?
ham,You always make things bigger than they are
ham,K.:)do it at evening da:)urgent:)
ham,"Good afternoon sunshine! How dawns that day ? Are we refreshed and happy to be alive? Do we breathe in the air and smile ? I think of you, my love ... As always"
ham,"Wait, do you know if wesleys in town? I bet she does hella drugs!"
ham,No probs hon! How u doinat the mo?
ham,Hi im having the most relaxing time ever! we have to get up at 7am every day! was the party good the other night? I get home tomorrow at 5ish.
ham,"Fuuuuck I need to stop sleepin, sup"
ham,You still at the game?
ham,Gud mrng dear hav a nice day
spam,1000's of girls many local 2 u who r virgins 2 this & r ready 2 4fil ur every sexual need. Can u 4fil theirs? text CUTE to 69911(£1.50p. m)
ham,"Yo, you around? Just got my car back"
ham,What Today-sunday..sunday is holiday..so no work..
ham,Sad story of a Man - Last week was my b'day. My Wife did'nt wish me. My Parents forgot n so did my Kids . I went to work. Even my Colleagues did not wish.
ham,Hey so whats the plan this sat?
ham,How come?
ham,"Yo, I'm at my parents' gettin cash. Good news: we picked up a downstem"
ham,Oh god..taken the teeth?is it paining
ham,Wife.how she knew the time of murder exactly
ham,excellent. I spent  &lt;#&gt;  years in the Air Force. Iraq and afghanistan. I am stable and honest. do you like traveling?
ham,"Thank you so much. When we skyped wit kz and sura, we didnt get the pleasure of your company. Hope you are good. We've given you ultimatum oh! We are countin down to aburo. Enjoy!"
spam,"Urgent! Please call 09066612661 from your landline, your complimentary 4* Lux Costa Del Sol holiday or £1000 CASH await collection. ppm 150 SAE T&Cs James 28, EH74RR"
spam,"BangBabes Ur order is on the way. U SHOULD receive a Service Msg 2 download UR content. If U do not, GoTo wap. bangb. tv on UR mobile internet/service menu"
ham,"Urgh, coach hot, smells of chip fat! Thanks again, especially for the duvet (not a predictive text word)."
ham,Sounds like something that someone testing me would sayy
spam,YES! The only place in town to meet exciting adult singles is now in the UK. Txt CHAT to 86688 now! 150p/Msg.
ham,Gettin rdy to ship comp
ham,Good sleep is about rhythm. The person has to establish a rhythm that the body will learn and use. If you want to know more :-)
ham,"Fighting with the world is easy, u either win or lose bt fightng with some1 who is close to u is dificult if u lose - u lose if u win - u still lose."
ham,HEY MATE! HOWS U HONEY?DID U AVE GOOD HOLIDAY? GIMMI DE GOSS!x
ham,I want kfc its Tuesday. Only buy 2 meals ONLY 2. No gravy. Only 2 Mark. 2!
ham,Hey company elama po mudyadhu.
ham,Yeah if we do have to get a random dude we need to change our info sheets to PARTY  &lt;#&gt; /7 NEVER STUDY just to be safe
ham,"I wonder if your phone battery went dead ? I had to tell you, I love you babe"
ham,I wnt to buy a BMW car urgently..its vry urgent.but hv a shortage of  &lt;#&gt; Lacs.there is no source to arng dis amt. &lt;#&gt; lacs..thats my prob
spam,You are awarded a SiPix Digital Camera! call 09061221061 from landline. Delivery within 28days. T Cs Box177. M221BP. 2yr warranty. 150ppm. 16 . p p£3.99
ham,Message:some text missing* Sender:Name Missing* *Number Missing *Sent:Date missing *Missing U a lot thats y everything is missing sent via fullonsms.com
ham,U meet other fren dun wan meet me ah... Muz b a guy rite...
ham,Yes I posted a couple of pics on fb. There's still snow outside too. I'm just waking up :)
ham,"Can you pls pls send me a mail on all you know about relatives coming to deliver here? All you know about costs, risks, benefits and anything else. Thanks."
ham,Its ok my arm is feeling weak cuz i got a shot so we can go another time
ham,Can you do online transaction?
ham,"Mon okie lor... Haha, best is cheap n gd food la, ex oso okie... Depends on whether wana eat western or chinese food... Den which u prefer..."
ham,Wewa is 130. Iriver 255. All 128 mb.
ham,hope things went well at 'doctors' ;) reminds me i still need 2go.did u c d little thing i left in the lounge?
ham,"When you just put in the + sign, choose my number and the pin will show. Right?"
ham,How much i gave to you. Morning.
ham,"Oh, then your phone phoned me but it disconnected"
ham,"Ok., is any problem to u frm him? Wats matter?"
ham,"Babe ! How goes that day ? What are you doing ? Where are you ? I sip my cappuccino and think of you, my love ... I send a kiss to you from across the sea"
spam,Dont forget you can place as many FREE Requests with 1stchoice.co.uk as you wish. For more Information call 08707808226.
ham,How abt making some of the pics bigger?
ham,"Hey j! r u feeling any better, hopeSo hunny. i amnow feelin ill & ithink i may have tonsolitusaswell! damn iam layin in bedreal bored. lotsof luv me xxxx"
spam,Fancy a shag? I do.Interested? sextextuk.com txt XXUK SUZY to 69876. Txts cost 1.50 per msg. TnCs on website. X
ham,Get down in gandhipuram and walk to cross cut road. Right side &lt;#&gt; street road and turn at first right.
ham,"Watching cartoon, listening music &amp; at eve had to go temple &amp; church.. What about u?"
ham,No rushing. I'm not working. I'm in school so if we rush we go hungry.
ham,Chk in ur belovd ms dict
ham,"Haha better late than ever, any way I could swing by?"
ham,Pls confirm the time to collect the cheque.
ham,Thanks. Fills me with complete calm and reassurance!
ham,I cant wait for cornwall. Hope tonight isnt too bad as well but its rock night shite. Anyway im going for a kip now have a good night. Speak to you soon.
ham,Ok lor. Msg me b4 u call.
ham,ME 2 BABE I FEEL THE SAME LETS JUST 4GET ABOUT IT+BOTH TRY +CHEER UP+NOT FIT SOO MUCHXXLOVE U LOCAXX
ham,Ambrith..madurai..met u in arun dha marrge..remembr?
ham,Ü called dad oredi...
ham,&lt;#&gt;  great loxahatchee xmas tree burning update: you can totally see stars here
ham,Never try alone to take the weight of a tear that comes out of ur heart and falls through ur eyes... Always remember a STUPID FRIEND is here to share... BSLVYL
ham,But i haf enuff space got like 4 mb...
ham,Okey dokey swashbuckling stuff what oh.
ham,No:-)i got rumour that you going to buy apartment in chennai:-)
ham,Yup but not studying surfing lor. I'm in e lazy mode today.
ham,No he didn't. Spring is coming early yay!
ham,I'm in office now . I will call you  &lt;#&gt;  min:)
spam,Text & meet someone sexy today. U can find a date or even flirt its up to U. Join 4 just 10p. REPLY with NAME & AGE eg Sam 25. 18 -msg recd@thirtyeight pence
ham,"idc get over here, you are not weaseling your way out of this shit twice in a row"
ham,What happened in interview?
ham,I think the other two still need to get cash but we can def be ready by 9
spam,No 1 POLYPHONIC tone 4 ur mob every week! Just txt PT2 to 87575. 1st Tone FREE ! so get txtin now and tell ur friends. 150p/tone. 16 reply HL 4info
ham,I‘ll have a look at the frying pan in case it‘s cheap or a book perhaps. No that‘s silly a frying pan isn‘t likely to be a book
ham,Prabha..i'm soryda..realy..frm heart i'm sory
ham,Did u receive my msg?
ham,Watching ajith film ah?
ham,How would my ip address test that considering my computer isn't a minecraft server
ham,Where can download clear movies. Dvd copies.
ham,Reckon need to be in town by eightish to walk from * carpark.
ham,Thnx dude. u guys out 2nite?
spam,Bored housewives! Chat n date now! 0871750.77.11! BT-national rate 10p/min only from landlines!
ham,Joy's father is John. Then John is the NAME of Joy's father. Mandan
ham,Okay... I booked all already... Including the one at bugis.
ham,WOT U WANNA DO THEN MISSY?
spam,2p per min to call Germany 08448350055 from your BT line. Just 2p per min. Check PlanetTalkInstant.com for info & T's & C's. Text stop to opt out
ham,Er mw im filled tuth is aight
ham,No my mum went 2 dentist.
ham,There's someone here that has a year  &lt;#&gt;  toyota camry like mr olayiwola's own. Mileage is  &lt;#&gt; k.its clean but i need to know how much will it sell for. If i can raise the dough for it how soon after landing will it sell. Holla back.
spam,"WELL DONE! Your 4* Costa Del Sol Holiday or £5000 await collection. Call 09050090044 Now toClaim. SAE, TCs, POBox334, Stockport, SK38xh, Cost£1.50/pm, Max10mins"
ham,Thts god's gift for birds as humans hav some natural gift frm god..
ham,"What will we do in the shower, baby?"
ham,K..k.:)congratulation ..
ham,"Merry Christmas to you too babe, i love ya *kisses*"
ham,"Doing nothing, then u not having dinner w us?"
ham,"Depends on quality. If you want the type i sent boye, faded glory, then about 6. If you want ralphs maybe 2"
spam,Free Top ringtone -sub to weekly ringtone-get 1st week free-send SUBPOLY to 81618-?3 per week-stop sms-08718727870
